Accession,Organism_Name,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,BioProject,GenBank_Title
NC_018871.1,Rousettus bat coronavirus HKU10,,"Lau,S.K., Li,K.S., Tsang,A.K., Shek,C.T., Wang,M., Choi,G.K., Guo,R., Wong,B.H., Poon,R.W., Lam,C.S., Wang,S.Y., Fan,R.Y., Chan,K.H., Zheng,B.J., Woo,P.C., Yuen,K.Y., Lau,S.K.P., Woo,P.C.Y., Li,K.S.M., Tsang,A.K.L., Shek,C.-T., Choi,G.K.Y., Wong,B.H.L., Poon,R.W.S., Lam,C.S.F., Wang,S.Y.H., Fan,R.Y.Y., Chan,K.-H., Zheng,B.-J., Yuen,K.-Y.","National Center for Biotechnology Information, NIH",USA,2012-10-18,183A,Bat coronavirus HKU10,Alphacoronavirus,Coronaviridae,ssRNA(+),28494,RefSeq,complete,,,1,China,China,,Chiroptera,,2005-10,,PRJNA485481,"Rousettus bat coronavirus HKU10, complete genome"
NC_017083.1,Rabbit coronavirus HKU14,,"Lau,S.K., Woo,P.C., Yip,C.C., Fan,R.Y., Huang,Y., Wang,M., Guo,R., Lam,C.S., Tsang,A.K., Lai,K.K., Chan,K.H., Che,X.Y., Zheng,B.J., Yuen,K.Y., Lau,S.K.P., Woo,P.C.Y., Yip,C.C.Y., Fan,R.Y.Y., Guo,R.T., Lam,C.S.F., Lai,K.K.Y.","National Center for Biotechnology Information, NIH",USA,2012-07-10,,Rabbit coronavirus HKU14,Betacoronavirus,Coronaviridae,ssRNA(+),31100,RefSeq,complete,,,1,China,China,,Oryctolagus cuniculus,,2006,,PRJNA485481,"Rabbit coronavirus HKU14, complete genome"
NC_016991.1,White-eye coronavirus HKU16,,"Woo,P.C., Lau,S.K., Lam,C.S., Lau,C.C., Tsang,A.K., Lau,J.H., Bai,R., Teng,J.L., Tsang,C.C., Wang,M., Zheng,B.J., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Lam,C.S.F., Lau,C.C.Y., Tsang,A.K.L., Lau,J.H.N., Teng,J.L.L., Tsang,C.C.C., Zheng,B.-J., Chan,K.-H., Yuen,K.-Y.","National Center for Biotechnology Information, NIH",USA,2012-03-30,,White-eye coronavirus HKU16,Deltacoronavirus,Coronaviridae,ssRNA(+),26041,RefSeq,complete,,,1,China: Hong Kong,China,,Zosteropidae,,2007,,PRJNA485481,"White-eye coronavirus HKU16, complete genome"
NC_016992.1,Sparrow coronavirus HKU17,,"Woo,P.C., Lau,S.K., Lam,C.S., Lau,C.C., Tsang,A.K., Lau,J.H., Bai,R., Teng,J.L., Tsang,C.C., Wang,M., Zheng,B.J., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Lam,C.S.F., Lau,C.C.Y., Tsang,A.K.L., Lau,J.H.N., Teng,J.L.L., Tsang,C.C.C., Zheng,B.-J., Chan,K.-H., Yuen,K.-Y.","National Center for Biotechnology Information, NIH",USA,2012-03-30,,Sparrow coronavirus HKU17,Deltacoronavirus,Coronaviridae,ssRNA(+),26083,RefSeq,complete,,,1,China: Hong Kong,China,,Passeridae,,2007,,PRJNA485481,"Sparrow coronavirus HKU17, complete genome"
NC_016993.1,Magpie-robin coronavirus HKU18,,"Woo,P.C., Lau,S.K., Lam,C.S., Lau,C.C., Tsang,A.K., Lau,J.H., Bai,R., Teng,J.L., Tsang,C.C., Wang,M., Zheng,B.J., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Lam,C.S.F., Lau,C.C.Y., Tsang,A.K.L., Lau,J.H.N., Teng,J.L.L., Tsang,C.C.C., Zheng,B.-J., Chan,K.-H., Yuen,K.-Y.","National Center for Biotechnology Information, NIH",USA,2012-03-30,,Magpie-robin coronavirus HKU18,Deltacoronavirus,Coronaviridae,ssRNA(+),26689,RefSeq,complete,,,1,China: Hong Kong,China,,Muscicapidae,,2007,,PRJNA485481,"Magpie-robin coronavirus HKU18, complete genome"
NC_016994.1,Night heron coronavirus HKU19,,"Woo,P.C., Lau,S.K., Lam,C.S., Lau,C.C., Tsang,A.K., Lau,J.H., Bai,R., Teng,J.L., Tsang,C.C., Wang,M., Zheng,B.J., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Lam,C.S.F., Lau,C.C.Y., Tsang,A.K.L., Lau,J.H.N., Teng,J.L.L., Tsang,C.C.C., Zheng,B.-J., Chan,K.-H., Yuen,K.-Y.","National Center for Biotechnology Information, NIH",USA,2012-03-30,,Night heron coronavirus HKU19,Deltacoronavirus,Coronaviridae,ssRNA(+),26077,RefSeq,complete,,,1,China: Hong Kong,China,,Ardeidae,,2007,,PRJNA485481,"Night-heron coronavirus HKU19, complete genome"
NC_016995.1,Wigeon coronavirus HKU20,,"Woo,P.C., Lau,S.K., Lam,C.S., Lau,C.C., Tsang,A.K., Lau,J.H., Bai,R., Teng,J.L., Tsang,C.C., Wang,M., Zheng,B.J., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Lam,C.S.F., Lau,C.C.Y., Tsang,A.K.L., Lau,J.H.N., Teng,J.L.L., Tsang,C.C.C., Zheng,B.-J., Chan,K.-H., Yuen,K.-Y.","National Center for Biotechnology Information, NIH",USA,2012-03-30,,Wigeon coronavirus HKU20,Deltacoronavirus,Coronaviridae,ssRNA(+),26227,RefSeq,complete,,,1,China: Hong Kong,China,,Mareca,,2008,,PRJNA485481,"Wigeon coronavirus HKU20, complete genome"
NC_016996.1,Common moorhen coronavirus HKU21,,"Woo,P.C., Lau,S.K., Lam,C.S., Lau,C.C., Tsang,A.K., Lau,J.H., Bai,R., Teng,J.L., Tsang,C.C., Wang,M., Zheng,B.J., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Lam,C.S.F., Lau,C.C.Y., Tsang,A.K.L., Lau,J.H.N., Teng,J.L.L., Tsang,C.C.C., Zheng,B.-J., Chan,K.-H., Yuen,K.-Y.","National Center for Biotechnology Information, NIH",USA,2012-03-30,,Common moorhen coronavirus HKU21,Deltacoronavirus,Coronaviridae,ssRNA(+),26223,RefSeq,complete,,,1,China: Hong Kong,China,,Gallinula chloropus,,2007,,PRJNA485481,"Common moorhen coronavirus HKU21, complete genome"
NC_014470.1,Bat coronavirus BM48-31/BGR/2008,,"Drexler,J.F., Gloza-Rausch,F., Glende,J., Corman,V.M., Muth,D., Goettsche,M., Seebens,A., Niedrig,M., Pfefferle,S., Yordanov,S., Zhelyazkov,L., Hermanns,U., Vallo,P., Lukashev,A., Muller,M.A., Deng,H., Herrler,G., Drosten,C.","National Center for Biotechnology Information, NIH",USA,2010-08-27,,Bat coronavirus BM48-31/BGR/2008,Betacoronavirus,Coronaviridae,ssRNA(+),29276,RefSeq,complete,,,1,Bulgaria,Bulgaria,,Rhinolophus blasii,,2008,,PRJNA485481,"Bat coronavirus BM48-31/BGR/2008, complete genome"
NC_012936.1,Rat coronavirus Parker,,"Spiro,D., Halpin,R., Wang,S., Hostetler,J., Overton,L., Tsitrin,T., Katzel,D., Sarmiento,M., Sitz,J., Amedeo,P., Caler,E., Lorenzi,H., Schobel,S., Sundaram,J., Weiss,S.","National Center for Biotechnology Information, NIH",USA,2009-07-13,,Murine coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),31250,RefSeq,complete,,,,,,,Rattus,,,,PRJNA485481,"Rat coronavirus Parker, complete genome"
NC_011549.1,Thrush coronavirus HKU12-600,,"Woo,P.C., Lau,S.K., Lam,C.S., Lai,K.K., Huang,Y., Lee,P., Luk,G.S., Dyrting,K.C., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Lam,C.S.F., Lai,K.K.Y., Luk,G.","National Center for Biotechnology Information, NIH",USA,2008-11-13,,Thrush coronavirus HKU12-600,Deltacoronavirus,Coronaviridae,ssRNA(+),26396,RefSeq,complete,,,1,Hong Kong,Hong Kong,,Turdus hortulorum,,2007-01,,PRJNA485481,"Thrush coronavirus HKU12-600, complete genome"
NC_011550.1,Munia coronavirus HKU13-3514,,"Woo,P.C., Lau,S.K., Lam,C.S., Lai,K.K., Huang,Y., Lee,P., Luk,G.S., Dyrting,K.C., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Lam,C.S.F., Lai,K.K.Y., Luk,G.","National Center for Biotechnology Information, NIH",USA,2008-11-13,,Munia coronavirus HKU13,Deltacoronavirus,Coronaviridae,ssRNA(+),26552,RefSeq,complete,,,1,Hong Kong,Hong Kong,,Lonchura striata,,2007-04,,PRJNA485481,"Munia coronavirus HKU13-3514, complete genome"
NC_010800.1,Turkey coronavirus,,"Gomaa,M.H., Barta,J.R., Ojkic,D., Yoo,D., Gomaa,M.","National Center for Biotechnology Information, NIH",USA,2008-06-03,MG10,Avian coronavirus,Gammacoronavirus,Coronaviridae,ssRNA(+),27657,RefSeq,complete,,,1,Canada,Canada,,Meleagris gallopavo,,,,PRJNA485481,"Turkey coronavirus, complete genome"
NC_010646.1,Beluga whale coronavirus SW1,,"Mihindukulasuriya,K.A., Wu,G., St Leger,J., Nordhausen,R.W., Wang,D., St. Leger,J.","National Center for Biotechnology Information, NIH",USA,2008-05-01,SW1,Beluga whale coronavirus SW1,Gammacoronavirus,Coronaviridae,ssRNA(+),31686,RefSeq,complete,,,1,,,,Delphinapterus leucas,,,,PRJNA485481,"Beluga Whale coronavirus SW1, complete genome"
NC_010437.1,Bat coronavirus 1A,,"Chu,D.K., Peiris,J.S., Chen,H., Guan,Y., Poon,L.L., Chu,D.K.W., Peiris,J.S.M., Poon,L.L.M.","National Center for Biotechnology Information, NIH",USA,2008-03-13,,Miniopterus bat coronavirus 1,Alphacoronavirus,Coronaviridae,ssRNA(+),28326,RefSeq,complete,,,1,Hong Kong,Hong Kong,,,,,,PRJNA485481,"Bat coronavirus 1A, complete genome"
NC_010438.1,Miniopterus bat coronavirus HKU8,,"Chu,D.K.W., Peiris,J.S.M., Chen,H., Guan,Y., Poon,L.L.M.","National Center for Biotechnology Information, NIH",USA,2008-03-13,,Miniopterus bat coronavirus HKU8,Alphacoronavirus,Coronaviridae,ssRNA(+),28773,RefSeq,complete,,,1,Hong Kong,Hong Kong,,,,,,PRJNA485481,"Miniopterus bat coronavirus HKU8, complete genome"
NC_009988.1,Rhinolophus bat coronavirus HKU2,,"Lau,S.K., Woo,P.C., Li,K.S., Huang,Y., Wang,M., Lam,C.S., Xu,H., Guo,R., Chan,K.H., Zheng,B.J., Yuen,K.Y., Lau,S.K.P., Woo,P.C.Y., Li,K.S.M., Lam,C.S.F.","National Center for Biotechnology Information, NIH",USA,2007-11-20,,Rhinolophus bat coronavirus HKU2,Alphacoronavirus,Coronaviridae,ssRNA(+),27165,RefSeq,complete,,,1,,,,,,,,PRJNA485481,"Rhinolophus bat coronavirus HKU2, complete genome"
NC_009657.1,Scotophilus bat coronavirus 512,,"Tang,X.C., Zhang,J.X., Zhang,S.Y., Wang,P., Fan,X.H., Li,L.F., Li,G., Dong,B.Q., Liu,W., Cheung,C.L., Xu,K.M., Song,W.J., Vijaykrishna,D., Poon,L.L., Peiris,J.S., Smith,G.J., Chen,H., Guan,Y., Poon,L.L.M., Peiris,J.S.M., Smith,G.J.D.","National Center for Biotechnology Information, NIH",USA,2007-07-24,,Scotophilus bat coronavirus 512,Alphacoronavirus,Coronaviridae,ssRNA(+),28203,RefSeq,complete,,,1,,,,,,,,PRJNA485481,"Scotophilus bat coronavirus 512, complete genome"
NC_009019.1,Tylonycteris bat coronavirus HKU4,,"Luo,C.M., Wang,N., Yang,X.L., Liu,H.Z., Zhang,W., Li,B., Hu,B., Peng,C., Geng,Q.B., Zhu,G.J., Li,F., Shi,Z.L., Woo,P.C., Lau,S.K., Li,K.S., Tsang,A.K., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Wang,M., Xu,H.F., Poon,R.W.S., Guo,R.T., Wong,B.H.L., Gao,K., Tsoi,H.W., Huang,Y., Li,K.S.M., Chan,K.H., Zheng,B.J.","National Center for Biotechnology Information, NIH",USA,2007-02-21,,Tylonycteris bat coronavirus HKU4,Betacoronavirus,Coronaviridae,ssRNA(+),30286,RefSeq,complete,,,3,China: Guangdong province,China,,Chiroptera,,,,PRJNA485481,"Tylonycteris bat coronavirus HKU4, complete genome"
NC_009020.1,Pipistrellus bat coronavirus HKU5,,"Lau,S.K., Li,K.S., Tsang,A.K., Lam,C.S., Ahmed,S., Chen,H., Chan,K.H., Woo,P.C., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Wang,M., Xu,H.F., Poon,R.W.S., Guo,R.T., Wong,B.H.L., Gao,K., Tsoi,H.W., Huang,Y., Li,K.S.M., Zheng,B.J.","National Center for Biotechnology Information, NIH",USA,2007-02-21,,Pipistrellus bat coronavirus HKU5,Betacoronavirus,Coronaviridae,ssRNA(+),30482,RefSeq,complete,,,3,China: Guangdong province,China,,Chiroptera,,,,PRJNA485481,"Pipistrellus bat coronavirus HKU5, complete genome"
NC_009021.1,Rousettus bat coronavirus HKU9,,"Woo,P.C.Y., Lau,S.K.P., Wang,M., Xu,H.F., Poon,R.W.S., Guo,R.T., Wong,B.H.L., Gao,K., Tsoi,H.W., Huang,Y., Li,K.S.M., Chan,K.H., Zheng,B.J., Yuen,K.Y.","National Center for Biotechnology Information, NIH",USA,2007-02-21,,Rousettus bat coronavirus HKU9,Betacoronavirus,Coronaviridae,ssRNA(+),29114,RefSeq,complete,,,1,China: Guangdong province,China,,Chiroptera,,,,PRJNA485481,"Rousettus bat coronavirus HKU9, complete genome"
NC_006577.2,Human coronavirus HKU1,,"Woo,P.C., Lau,S.K., Chu,C.M., Chan,K.H., Tsoi,H.W., Huang,Y., Wong,B.H., Poon,R.W., Cai,J.J., Luk,W.K., Poon,L.L., Wong,S.S., Guan,Y., Peiris,J.S., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Wong,B.H.L., Wong,S.S.Y., Peiris,J.S.M.","The University of Hong Kong, Department of Microbiology",China,2004-12-28,HKU1,Human coronavirus HKU1,Betacoronavirus,Coronaviridae,ssRNA(+),29926,RefSeq,complete,,,1,,,,Homo sapiens,,,,PRJNA485481,"Human coronavirus HKU1, complete genome"
NC_005831.2,Human coronavirus NL63,,"van der Hoek,L., Pyrc,K., Jebbink,M.F., Vermeulen-Oost,W., Berkhout,R.J., Wolthers,K.C., Wertheim-van Dillen,P.M., Kaandorp,J., Spaargaren,J., Berkhout,B., Berkhout,R.J.M., Wertheim-van Dillen,P.M.E.","National Center for Biotechnology Information, NIH",USA,2004-03-23,,Human coronavirus NL63,Alphacoronavirus,Coronaviridae,ssRNA(+),27553,RefSeq,complete,,,1,,,,,,,,PRJNA485481,"Human Coronavirus NL63, complete genome"
NC_004718.3,SARS coronavirus Tor2,,"He,R., Dobie,F., Ballantine,M., Leeson,A., Li,Y., Bastien,N., Cutts,T., Andonov,A., Cao,J., Booth,T.F., Plummer,F.A., Tyler,S., Baker,L., Li,X.","National Center for Biotechnology Information, NIH",USA,2003-04-14,Tor2,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29751,RefSeq,complete,,,1,Canada: Toronto,Canada,,Homo sapiens,,,,PRJNA485481,"SARS coronavirus Tor2, complete genome"
NC_003045.1,Bovine coronavirus,,"Chouljenko,V.N., Lin,X.Q., Storz,J., Kousoulas,K.G., Gorbalenya,A.E.","National Center for Biotechnology Information, NIH",USA,2001-08-02,BCoV-ENT,Betacoronavirus 1,Betacoronavirus,Coronaviridae,ssRNA(+),31028,RefSeq,complete,,,1,,,,,,,,PRJNA485481,"Bovine coronavirus isolate BCoV-ENT, complete genome"
NC_003436.1,Porcine epidemic diarrhea virus,,"Kocherhans,R., Bridgen,A., Ackermann,M., Tobler,K., Carvajal,A., Duarte,M., Rasschaert,D., Laude,H.","University of Zurich, Virologisches Institut, Vet. Med. Fak.",Switzerland,2001-04-23,,Porcine epidemic diarrhea virus,Alphacoronavirus,Coronaviridae,ssRNA(+),28033,RefSeq,complete,,,5,,,,,,,,PRJNA485481,"Porcine epidemic diarrhea virus, complete genome"
NC_002645.1,Human coronavirus 229E,,"Ziebuhr,J., Thiel,V., Gorbalenya,A.E., Herold,J., Schelle,B., Siddell,S.G.","University of Wuerzburg, Virology",Germany,2001-01-11,,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),27317,RefSeq,complete,,,2,,,,,,,,PRJNA485481,"Human coronavirus 229E, complete genome"
NC_002306.3,Feline infectious peritonitis virus,,"Haijema,B.J., de Groot-Mijnes,J.D.F., Vennema,H., Raamsman,M.J., Rottier,P.J.M., de Groot,R.J.","National Center for Biotechnology Information, NIH",USA,2000-05-11,79-1146,Alphacoronavirus 1,Alphacoronavirus,Coronaviridae,ssRNA(+),29355,RefSeq,complete,2,,,USA,USA,,,,,,PRJNA485481,"Feline infectious peritonitis virus, complete genome"
NC_001846.1,Murine hepatitis virus,,"Leparc-Goffart,I., Hingley,S.T., Chua,M.M., Jiang,X., Lavi,E., Weiss,S.R.","National Center for Biotechnology Information, NIH",USA,1997-11-22,,Murine coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),31357,RefSeq,complete,,,1,,,,,,,,PRJNA485481,"Murine hepatitis virus strain MHV-A59 C12 mutant, complete genome"
NC_001451.1,Infectious bronchitis virus,,"Ziebuhr,J., Snijder,E.J., Gorbalenya,A.E., Brierley,I., Boursnell,M.E., Binns,M.M., Bilimoria,B., Blok,V.C., Brown,T.D., Inglis,S.C., Foulds,I.J., Green,P.F., Tomley,F.M., Cavanagh,D., Pappin,D.J.","National Center for Biotechnology Information, NIH",USA,1993-06-12,,Avian coronavirus,Gammacoronavirus,Coronaviridae,ssRNA(+),27608,RefSeq,complete,,,8,,,,,,,,PRJNA485481,"Avian infectious bronchitis virus, complete genome"
